task,head,run_tag,context_length,k,split,context_length_min,total_compute_min,n_subjects,n_segments,seg_accuracy,seg_balanced_accuracy,seg_macro_f1,seg_auroc,mean_prob_accuracy,mean_prob_balanced_accuracy,mean_prob_macro_f1,mean_prob_auroc,majority_accuracy,majority_balanced_accuracy,majority_macro_f1,majority_auroc,mean_prob_auroc_ci_lo,mean_prob_auroc_ci_hi,mean_prob_bal_acc_ci_lo,mean_prob_bal_acc_ci_hi
age_class,lstm,,30s,1,test,0.5,0.5,1861,1861,0.6324556689951639,0.5708839098131654,0.5492912527228074,0.7876230731725672,0.6324556689951639,0.5708839098131654,0.5492912527228074,0.7876230731725672,0.6324556689951639,0.5708839098131654,0.5492912527228074,0.7876230731725672,,,,
age_class,lstm,,30s,10,test,0.5,5.0,1861,18610,0.6550241805480924,0.6077789755944699,0.579460115037754,0.8209336754355033,0.6974744760881246,0.6605569130091141,0.6277872658367906,0.8588392316795064,0.6845781837721655,0.6609576555630713,0.621002133712365,0.8588392316795064,,,,
age_class,lstm,,30s,100,test,0.5,50.0,1861,186100,0.6597528210639441,0.6139666924328392,0.5835591652426402,0.8277754897482765,0.7006985491671145,0.660746946075963,0.628099447762228,0.8622836728126568,0.6990865126276196,0.6617655671259314,0.6287864775275573,0.8622836728126568,,,,
age_class,lstm,,30s,12,test,0.5,6.0,1861,22332,0.6580243596632634,0.6099739717957087,0.5817168573052617,0.8226096412135916,0.7028479312197743,0.6632628975988998,0.63130659323887,0.8605327679453362,0.6872649113379903,0.6580990789917713,0.6203867012563222,0.8605327679453362,,,,
age_class,lstm,,30s,120,test,0.5,60.0,1861,223320,0.6598155113738133,0.613719686477218,0.5836002301826464,0.8275320727637133,0.6942504030091349,0.6566798215640578,0.6234863079754968,0.8616937982022951,0.6980118216012896,0.6642978139033212,0.6302081001971129,0.8616937982022951,,,,
age_class,lstm,,30s,16,test,0.5,8.0,1861,29776,0.6540838259000538,0.606000134961142,0.5774004220640713,0.8233821647435029,0.6969371305749597,0.6599419068590525,0.6267287951262867,0.8601956921923236,0.6904889844169801,0.658794348769991,0.6232827784884258,0.8601956921923236,,,,
age_class,lstm,,30s,160,test,0.5,80.0,1861,297760,0.6618048092423429,0.615351536354981,0.5852074138633667,0.8279940114004614,0.6985491671144546,0.6606453242644988,0.6281273517855437,0.8625036961863746,0.6996238581407845,0.6598910428652144,0.6293496697354,0.8625036961863746,,,,
age_class,lstm,,30s,2,test,0.5,1.0,1861,3722,0.6176786673831274,0.5605113544729501,0.5426330083821892,0.7774718532284003,0.6383664696399785,0.574166352999783,0.5607612624104904,0.805255641936132,0.5738850080601827,0.5988940216332579,0.5346502228481694,0.805255641936132,,,,
age_class,lstm,,30s,20,test,0.5,10.0,1861,37220,0.6606394411606663,0.6167769826334387,0.5862179288153545,0.8258209019086715,0.6963997850617948,0.6637255241198713,0.6310315719464196,0.861375870638548,0.7023105857066093,0.6720255756812752,0.6356473242959861,0.861375870638548,,,,
age_class,lstm,,30s,200,test,0.5,100.0,1861,372200,0.661166039763568,0.6153619318793093,0.5849526637883433,0.8279589582949155,0.6990865126276196,0.6636187332033423,0.630503954794459,0.8623922844716646,0.6985491671144546,0.6650439476753791,0.6308947008103409,0.8623922844716646,,,,
