task,head,run_tag,context_length,k,split,context_length_min,total_compute_min,n_subjects,n_segments,seg_accuracy,seg_balanced_accuracy,seg_macro_f1,seg_auroc,mean_prob_accuracy,mean_prob_balanced_accuracy,mean_prob_macro_f1,mean_prob_auroc,majority_accuracy,majority_balanced_accuracy,majority_macro_f1,majority_auroc,mean_prob_auroc_ci_lo,mean_prob_auroc_ci_hi,mean_prob_bal_acc_ci_lo,mean_prob_bal_acc_ci_hi
age_class,lstm,,30s,1,test,0.5,0.5,1861,1861,0.6867275658248254,0.5520656179720428,0.5682863801222554,0.8261091811443383,0.6867275658248254,0.5520656179720428,0.5682863801222554,0.8261091811443383,0.6867275658248254,0.5520656179720428,0.5682863801222554,0.8261091811443383,0.81012602906695,0.8406993463371532,0.5241839458714431,0.5771545837555427
age_class,lstm,,30s,10,test,0.5,5.0,1861,18610,0.707898979043525,0.6446318961254199,0.6312506994854669,0.860314592954771,0.7560451370231058,0.6970085478109583,0.6841473762515813,0.903353519638166,0.7576571735626008,0.7101403434936815,0.6910261423375234,0.903353519638166,0.8930352642277154,0.914166425509862,0.6687514896832036,0.7248161783266088
age_class,lstm,,30s,100,test,0.5,50.0,1861,186100,0.7144438473938742,0.6621820171093019,0.6426734999288163,0.8686505147107679,0.7710908113917249,0.7209298192896517,0.7013465972790897,0.908528324645267,0.7673293927995701,0.7159132112065483,0.6966385320276164,0.908528324645267,0.8983834778437464,0.9188913047610298,0.6935159170445622,0.7476711940592833
age_class,lstm,,30s,12,test,0.5,6.0,1861,22332,0.708042271180369,0.6464544315764091,0.6325616434016572,0.8612729370158322,0.7614185921547555,0.7038509005676313,0.6891827226704786,0.9033841528049924,0.7506716818914562,0.7057571212217838,0.6873489850920308,0.9033841528049924,0.8931544068665195,0.9142383942363854,0.6769186518746961,0.7334823425270505
age_class,lstm,,30s,120,test,0.5,60.0,1861,223320,0.7138724699982089,0.6616401347400721,0.6422881877024705,0.8685099650302927,0.7673293927995701,0.7161754664505411,0.6969775514154382,0.9082929322347124,0.7673293927995701,0.7137418629624536,0.6971173336998735,0.9082929322347124,0.8980127543130043,0.918613480646251,0.6895928525483479,0.7439111764786573
age_class,lstm,,30s,16,test,0.5,8.0,1861,29776,0.7131246641590543,0.6569456588581551,0.6399221173281603,0.8656354763406225,0.7624932831810854,0.7045197492336928,0.6879886786721917,0.9076679476271412,0.7571198280494358,0.7101617016769873,0.6887850676920612,0.9076679476271412,0.897272038100878,0.9178290249980796,0.6762128089975113,0.7324633287860096
age_class,lstm,,30s,160,test,0.5,80.0,1861,297760,0.7141523374529822,0.661984961198518,0.6427366560993545,0.8683874922900371,0.7727028479312198,0.7224566555731524,0.7034274599250598,0.9082396733884216,0.7673293927995701,0.714827537084501,0.6969342633327319,0.9082396733884216,0.8980870376743734,0.91851836353652,0.6961606895544676,0.7508302900706095
age_class,lstm,,30s,2,test,0.5,1.0,1861,3722,0.6673831273508867,0.5431299564872001,0.5532930319242783,0.8099054940081364,0.6942504030091349,0.5685936050939189,0.5814975273746846,0.834087152029302,0.6593229446534121,0.5967862841166801,0.581522120819046,0.834087152029302,0.8189774908879245,0.8481200099965293,0.5431365030009339,0.5959985050719037
age_class,lstm,,30s,20,test,0.5,10.0,1861,37220,0.7112036539494895,0.6535372009929779,0.6373075645611443,0.8648143134677445,0.7732401934443848,0.7230157348005232,0.7040986609952128,0.9064113912620796,0.7630306286942504,0.7219058301492205,0.6994389278162894,0.9064113912620796,0.8958887623745856,0.9169786579718148,0.695479041879099,0.7504384832055837
age_class,lstm,,30s,200,test,0.5,100.0,1861,372200,0.7144599677592692,0.6630643602924571,0.6435682578520684,0.8685316860742116,0.7673293927995701,0.7193013611946867,0.6989861216202112,0.9086246151088796,0.7635679742074154,0.7124315870341723,0.6928184593093345,0.9086246151088796,0.8985863011953534,0.9189074339675756,0.6926127962464962,0.7465580709961461
