task,head,run_tag,context_length,k,split,context_length_min,total_compute_min,n_subjects,n_segments,seg_accuracy,seg_balanced_accuracy,seg_macro_f1,seg_auroc,mean_prob_accuracy,mean_prob_balanced_accuracy,mean_prob_macro_f1,mean_prob_auroc,majority_accuracy,majority_balanced_accuracy,majority_macro_f1,majority_auroc,mean_prob_auroc_ci_lo,mean_prob_auroc_ci_hi,mean_prob_bal_acc_ci_lo,mean_prob_bal_acc_ci_hi
age_class,lstm,,30s,1,test,0.5,0.5,1861,1861,0.6829661472326706,0.5975859418761015,0.5957920055749365,0.8369523848838857,0.6829661472326706,0.5975859418761015,0.5957920055749365,0.8369523848838857,0.6829661472326706,0.5975859418761015,0.5957920055749365,0.8369523848838857,,,,
age_class,lstm,,30s,10,test,0.5,5.0,1861,18610,0.7254164427727029,0.664387780919625,0.6514727167799297,0.8751923265040927,0.7813003761418592,0.727674422872493,0.714540646102496,0.9130632415507942,0.7689414293390651,0.7212215803441767,0.7041452781936576,0.9130632415507942,,,,
age_class,lstm,,30s,100,test,0.5,50.0,1861,186100,0.7334175174637292,0.678188201236602,0.661970525451333,0.8825885128438905,0.7850617947340139,0.7362662354884222,0.7205786660279866,0.918401781708872,0.783987103707684,0.7362337511557281,0.7201241684691712,0.918401781708872,,,,
age_class,lstm,,30s,12,test,0.5,6.0,1861,22332,0.7264911337990327,0.6687121909768354,0.6554824317944122,0.8767767407018652,0.7780763030628695,0.7288323191716843,0.7139551403043899,0.9136494656556892,0.7694787748522299,0.726815647315795,0.709360720713331,0.9136494656556892,,,,
age_class,lstm,,30s,120,test,0.5,60.0,1861,223320,0.7350035823034211,0.6789455492563631,0.6632980622899597,0.8825851950913545,0.7877485222998388,0.7369828634499477,0.7226027187788472,0.918424661640346,0.7904352498656636,0.742472223911728,0.7274861645131306,0.918424661640346,,,,
age_class,lstm,,30s,16,test,0.5,8.0,1861,29776,0.731931757119828,0.6751679169111234,0.6600317048973244,0.8811649708926167,0.7872111767866738,0.7335601447224241,0.7188441507939104,0.9183526345530918,0.7796883396023643,0.7290112260891449,0.7122901820784932,0.9183526345530918,,,,
age_class,lstm,,30s,160,test,0.5,80.0,1861,297760,0.7341046480386889,0.6781426528779867,0.6625850718611909,0.882561944859715,0.7872111767866738,0.7384080779219845,0.7225931173628869,0.9184793300880844,0.7855991402471789,0.7410176098053709,0.7240433511619951,0.9184793300880844,,,,
age_class,lstm,,30s,2,test,0.5,1.0,1861,3722,0.6781300376141859,0.596973073220837,0.5945763412393634,0.8303196082119605,0.7168189145620634,0.6300988136182996,0.631009764896707,0.8598620790065494,0.6539494895217625,0.6467693059815364,0.6077349646603035,0.8598620790065494,,,,
age_class,lstm,,30s,20,test,0.5,10.0,1861,37220,0.7325631380977968,0.6745798093169112,0.6605021989716239,0.8801838108974044,0.7861364857603439,0.7354560271664469,0.7195085073574514,0.9167957892347252,0.7829124126813541,0.7400387265998526,0.7218463206023064,0.9167957892347252,,,,
age_class,lstm,,30s,200,test,0.5,100.0,1861,372200,0.7342423428264374,0.6786905027904115,0.6627857348058391,0.8828809159265948,0.7872111767866738,0.7390444422553517,0.7243846750225268,0.9187025639612568,0.7882858678130038,0.7444108227223621,0.7283377548534054,0.9187025639612568,,,,
