task,head,run_tag,context_length,k,split,context_length_min,total_compute_min,n_subjects,n_segments,seg_accuracy,seg_balanced_accuracy,seg_macro_f1,seg_auroc,mean_prob_accuracy,mean_prob_balanced_accuracy,mean_prob_macro_f1,mean_prob_auroc,majority_accuracy,majority_balanced_accuracy,majority_macro_f1,majority_auroc,mean_prob_auroc_ci_lo,mean_prob_auroc_ci_hi,mean_prob_bal_acc_ci_lo,mean_prob_bal_acc_ci_hi
age_class,lstm,,30s,1,test,0.5,0.5,1861,1861,0.6055883933369156,0.5347573698082374,0.5251610933822245,0.7760187214709395,0.6055883933369156,0.5347573698082374,0.5251610933822245,0.7760187214709395,0.6055883933369156,0.5347573698082374,0.5251610933822245,0.7760187214709395,,,,
age_class,lstm,,30s,10,test,0.5,5.0,1861,18610,0.615045674368619,0.5458819019651115,0.5371225842330173,0.7783366733535108,0.6410531972058033,0.5703513355212786,0.5597102754134388,0.8133719168379491,0.6174099946265449,0.5644222155416895,0.547116726830324,0.8133719168379491,,,,
age_class,lstm,,30s,100,test,0.5,50.0,1861,186100,0.6151638903815153,0.5453235851388264,0.537408846121342,0.7776401896348029,0.6372917786136486,0.5671878935155863,0.5557057809497464,0.8148659623273634,0.6254701773240193,0.5636525330034227,0.5498682893419735,0.8148659623273634,,,,
age_class,lstm,,30s,12,test,0.5,6.0,1861,22332,0.61472326706072,0.5444303417287721,0.5361007242825593,0.7771596162813591,0.6367544331004836,0.568613107987623,0.557013051006778,0.8146088221174193,0.6238581407845244,0.570024323964322,0.5530063718684035,0.8146088221174193,,,,
age_class,lstm,,30s,120,test,0.5,60.0,1861,223320,0.615869604155472,0.5460098341953761,0.5381245815934944,0.7776728394822685,0.6324556689951639,0.5649657874538656,0.5533218503788092,0.8144373799502146,0.630843632455669,0.568529865837303,0.5540400972317371,0.8144373799502146,,,,
age_class,lstm,,30s,16,test,0.5,8.0,1861,29776,0.6153949489521763,0.5458699702037136,0.5382019279698055,0.7774330149417432,0.6389038151531434,0.5692951672097636,0.558883230484747,0.8132954251075927,0.6190220311660397,0.5624490479916703,0.5478279112387759,0.8132954251075927,,,,
age_class,lstm,,30s,160,test,0.5,80.0,1861,297760,0.6163151531434713,0.5462227824055891,0.5385073984724283,0.778165362444588,0.6324556689951639,0.5638801133318182,0.5523703085877921,0.8151665141121572,0.629768941429339,0.5679362178705473,0.5533467974980645,0.8151665141121572,,,,
age_class,lstm,,30s,2,test,0.5,1.0,1861,3722,0.5961848468565287,0.5374528876587946,0.524027871533058,0.7657562591030344,0.6088124664159055,0.5508198580631926,0.5388604944377938,0.7894446881364495,0.554540569586244,0.5488232870407285,0.507897811831819,0.7894446881364495,,,,
age_class,lstm,,30s,20,test,0.5,10.0,1861,37220,0.6146963997850617,0.5453548751008981,0.5372364218919752,0.776465887914258,0.6329930145083289,0.5648133016485635,0.5527547328617172,0.8137239489636817,0.6227834497581946,0.5637593239199515,0.5487388560982004,0.8137239489636817,,,,
age_class,lstm,,30s,200,test,0.5,100.0,1861,372200,0.6146963997850617,0.5448415022181553,0.5370880624494286,0.7777964903322886,0.6329930145083289,0.5635405729818288,0.5524501834307239,0.8147873531514925,0.6286942504030091,0.5660698412370571,0.5521788475368572,0.8147873531514925,,,,
age_class,lstm,,30s,25,test,0.5,12.5,1861,46525,0.6153465878559914,0.5447102163936027,0.5368471012625893,0.778256656519562,0.630843632455669,0.564075315503732,0.5527356303721477,0.8150690949593749,0.6238581407845244,0.5638477351753365,0.5500013023545444,0.8150690949593749,,,,
age_class,lstm,,30s,250,test,0.5,125.0,1861,465250,0.6155378828586782,0.5452855908083678,0.5375938739474865,0.7780583234976065,0.6340677055346587,0.5658562594039992,0.554565400823407,0.8149445838701971,0.631918323481999,0.5702091879261061,0.5558948813290968,0.8149445838701971,,,,
age_class,lstm,,30s,3,test,0.5,1.5,1861,5583,0.6057675085079707,0.5396360996975408,0.5289436124704697,0.7722682495219052,0.629768941429339,0.5617596290815617,0.5506177523153123,0.8034645652558625,0.6200967221923697,0.5605724393242624,0.5447948919089859,0.8034645652558625,,,,
age_class,lstm,,30s,30,test,0.5,15.0,1861,55830,0.6143650367186101,0.5447017276613241,0.5369440625429988,0.7777755215487693,0.6292315959161741,0.5615939327201803,0.5508374096073646,0.8146337357811323,0.6238581407845244,0.5657568281754383,0.5509410319997982,0.8146337357811323,,,,
age_class,lstm,,30s,320,test,0.5,160.0,1861,595520,0.6153999865663622,0.5450691632963544,0.5374775355038243,0.777790342665094,0.631918323481999,0.5623105606817058,0.5517208795328185,0.8146889343483794,0.6281569048898442,0.5671768735424102,0.5533419496579414,0.8146889343483794,,,,
age_class,lstm,,30s,4,test,0.5,2.0,1861,7444,0.6082751209027405,0.5417778429401682,0.5320964169135517,0.7732076620687051,0.6292315959161741,0.561406878175493,0.5516795150475108,0.8066477287422069,0.6012896292315959,0.5591486274958702,0.5385784272625216,0.8066477287422069,,,,
age_class,lstm,,30s,40,test,0.5,20.0,1861,74440,0.6153009134873724,0.5456392420998918,0.5378038836572366,0.7778736684790483,0.6389038151531434,0.5717094969212363,0.5591469311060305,0.8146091039769053,0.6281569048898442,0.5676821102537811,0.552541003540199,0.8146091039769053,,,,
age_class,lstm,,30s,400,test,0.5,200.0,1861,744400,0.6153882321332617,0.5453662952745707,0.5376497898805424,0.7781059053712074,0.6340677055346587,0.5647705852819518,0.553394458229774,0.8151696118892654,0.6335303600214938,0.5700139857541923,0.5557618745066838,0.8151696118892654,,,,
age_class,lstm,,30s,5,test,0.5,2.5,1861,9305,0.6073078989790435,0.5392006375222129,0.5309205744604629,0.7740154539487379,0.6238581407845244,0.5567165998862998,0.5468503033779678,0.8077602651432688,0.6131112305212252,0.552820340840841,0.5409045305169787,0.8077602651432688,,,,
age_class,lstm,,30s,50,test,0.5,25.0,1861,93050,0.6161848468565287,0.5449778783538467,0.5375263956347094,0.7779604565744286,0.6394411606663084,0.5683751894490977,0.5572861637205692,0.814390176296023,0.6281569048898442,0.5664093815870465,0.5520742641374867,0.814390176296023,,,,
age_class,lstm,,30s,500,test,0.5,250.0,1861,930500,0.6151939817302525,0.5452902156988749,0.5375461307576376,0.7779817360962946,0.6346050510478237,0.5650674092653296,0.553736000548636,0.814790598625133,0.630306286942504,0.5683641694759216,0.5544991512758474,0.814790598625133,,,,
age_class,lstm,,30s,6,test,0.5,3.0,1861,11166,0.6109618484685653,0.5422871679013918,0.53399323658869,0.7755830275555894,0.6372917786136486,0.5692281141376845,0.5572653021581717,0.8112484292876457,0.6072004298764105,0.5584643776908266,0.5406161769012106,0.8112484292876457,,,,
age_class,lstm,,30s,60,test,0.5,30.0,1861,111660,0.6166218878739029,0.5461583559490527,0.5385287891446661,0.778429839908112,0.6399785061794734,0.5691213232211556,0.558536177306042,0.8155778728125531,0.6286942504030091,0.5667062055704243,0.5526391809848518,0.8155778728125531,,,,
age_class,lstm,,30s,8,test,0.5,4.0,1861,14888,0.6137157442235357,0.544020512260659,0.5361004760760832,0.7775206927351359,0.6378291241268136,0.5678028996656478,0.5563935208938244,0.8126358589860122,0.6163353036002149,0.5611519826194682,0.5444974225841387,0.8126358589860122,,,,
age_class,lstm,,30s,80,test,0.5,40.0,1861,148880,0.6156837721655024,0.5455950025237527,0.5378772024851329,0.7780012181612088,0.6405158516926384,0.5696052017492207,0.558016129365193,0.8154619746630893,0.6281569048898442,0.5668586913757265,0.5530041266135247,0.8154619746630893,,,,
age_class,lstm,,30s,all,test,0.5,,1861,2092285,0.6375488998869657,0.5539953985075696,0.5454632765306926,0.7935222808307993,0.6324556689951639,0.5629255668317673,0.5519773607569226,0.8150309623710283,0.6324556689951639,0.5687839734540693,0.5548315035836705,0.8150309623710283,,,,
age_class,lstm,,10m,1,test,10.0,10.0,1861,1861,0.6394411606663084,0.5892478736425287,0.5678778210532857,0.8084146002030567,0.6394411606663084,0.5892478736425287,0.5678778210532857,0.8084146002030567,0.6394411606663084,0.5892478736425287,0.5678778210532857,0.8084146002030567,,,,
age_class,lstm,,10m,10,test,10.0,100.0,1861,18610,0.639065018807093,0.6009564761130011,0.5693455060717494,0.8098342987884491,0.6883396023643202,0.644953072461286,0.6177987987211863,0.8396946286711858,0.6652337452982268,0.6393959771643803,0.6053385221878997,0.8396946286711858,,,,
