task,head,run_tag,context_length,k,split,context_length_min,total_compute_min,n_subjects,n_segments,seg_accuracy,seg_balanced_accuracy,seg_macro_f1,seg_auroc,mean_prob_accuracy,mean_prob_balanced_accuracy,mean_prob_macro_f1,mean_prob_auroc,majority_accuracy,majority_balanced_accuracy,majority_macro_f1,majority_auroc,mean_prob_auroc_ci_lo,mean_prob_auroc_ci_hi,mean_prob_bal_acc_ci_lo,mean_prob_bal_acc_ci_hi
age_class,lstm,,30s,1,test,0.5,0.5,1859,1859,0.6433566433566433,0.5625465097053853,0.5532748432298628,0.7984629472760835,0.6433566433566433,0.5625465097053853,0.5532748432298628,0.7984629472760835,0.6433566433566433,0.5625465097053853,0.5532748432298628,0.7984629472760835,0.7827279709429827,0.815021721069199,0.5336168091555262,0.5902542769447306
age_class,lstm,,30s,10,test,0.5,5.0,1859,18590,0.6568585260892953,0.5849690704360125,0.5722756059696632,0.8174712385390649,0.7073695535233997,0.6327465756728415,0.6226302041046344,0.8589980536607783,0.6826250672404519,0.6135840891291152,0.5992317303292913,0.8589980536607783,0.8450715001142692,0.8713757757105374,0.6040777130266889,0.6614805714078722
age_class,lstm,,30s,100,test,0.5,50.0,1859,185900,0.6623130715438408,0.5886272154233363,0.5766504592897271,0.8201650971344314,0.7079074771382464,0.623690130560358,0.6161208944090725,0.8643290165868631,0.7041420118343196,0.6206525884977404,0.6121493930068357,0.8643290165868631,0.8511724121309285,0.8767846621166573,0.594054210136219,0.6507513932470473
age_class,lstm,,30s,12,test,0.5,6.0,1859,22308,0.6592253899946208,0.5862017832542477,0.5744518872670167,0.8178657255831393,0.7073695535233997,0.6252033601580543,0.6183542337025157,0.8609549328613088,0.6890801506186122,0.6214551553734341,0.6095707235599194,0.8609549328613088,0.8480072696722317,0.8736330121590133,0.5972946374346533,0.6534275935163333
age_class,lstm,,30s,120,test,0.5,60.0,1859,223080,0.6621032813340506,0.5888939217768908,0.5768625227385846,0.8204659639319859,0.7079074771382464,0.6260856330631345,0.6175777141435733,0.8651210530617505,0.7046799354491662,0.6224740821225127,0.6148309263742959,0.8651210530617505,0.8518661310456869,0.8775776082950759,0.5968973784878723,0.6535621734355749
age_class,lstm,,30s,16,test,0.5,8.0,1859,29744,0.6606038192576654,0.5877003097556834,0.5750231676243223,0.8187968066749901,0.7025282409897795,0.617001097412966,0.6084946654450399,0.8619132375956967,0.7003765465303927,0.6284929851723784,0.6165150297450922,0.8619132375956967,0.8487447273888246,0.8747143472749518,0.5904257428083314,0.6445881012073938
age_class,lstm,,30s,160,test,0.5,80.0,1859,297440,0.6616191500806885,0.5882457565078039,0.5760731676204941,0.8204085365691537,0.708445400753093,0.6248636598220552,0.6168539341594216,0.8644475735106955,0.7030661646046261,0.6204097761205057,0.6120046397235052,0.8644475735106955,0.8511052274138684,0.8766235544505043,0.5945806341539833,0.6517049019512675
age_class,lstm,,30s,2,test,0.5,1.0,1859,3718,0.6285637439483593,0.5591055582461132,0.5461010055510658,0.7935507132570717,0.6584185045723507,0.5848186466522631,0.5752381965599386,0.818712837961896,0.5895642818719742,0.5921667967335236,0.5407460104743199,0.818712837961896,0.8029460423388936,0.8341204509585798,0.5560749866405869,0.6134637977001489
age_class,lstm,,30s,20,test,0.5,10.0,1859,37180,0.6611619150080689,0.5887334394779259,0.5762168085641397,0.8204525328541723,0.7079074771382464,0.6297770642920613,0.620617001452301,0.8635866608433656,0.6971490048413125,0.6216776143089714,0.6116052589453492,0.8635866608433656,0.85063270264424,0.8762151297121824,0.600549316536013,0.6574165805460405
age_class,lstm,,30s,200,test,0.5,100.0,1859,371800,0.6630849919311458,0.5894909994571486,0.5774690781711554,0.8206235710924554,0.7079074771382464,0.623690130560358,0.6163695408794219,0.8651429181661463,0.7003765465303927,0.6170325337218888,0.6096074046363761,0.8651429181661463,0.8521452120484331,0.8776782392735949,0.5935194572899017,0.6516596643581543
