task,head,context_length,k,split,context_length_min,total_compute_min,n_subjects,n_segments,seg_accuracy,seg_balanced_accuracy,seg_macro_f1,seg_auroc,mean_prob_accuracy,mean_prob_balanced_accuracy,mean_prob_macro_f1,mean_prob_auroc,majority_accuracy,majority_balanced_accuracy,majority_macro_f1,majority_auroc,mean_prob_auroc_ci_lo,mean_prob_auroc_ci_hi,mean_prob_bal_acc_ci_lo,mean_prob_bal_acc_ci_hi
age_class,lstm,30s,1,test,0.5,0.5,1862,1862,0.6186895810955961,0.584407765482878,0.5410797789878302,0.7962354435406945,0.6186895810955961,0.584407765482878,0.5410797789878302,0.7962354435406945,0.6186895810955961,0.584407765482878,0.5410797789878302,0.7962354435406945,,,,
age_class,lstm,30s,1,test,0.5,0.5,1859,1859,0.6433566433566433,0.5625465097053853,0.5532748432298628,0.7984629472760835,0.6433566433566433,0.5625465097053853,0.5532748432298628,0.7984629472760835,0.6433566433566433,0.5625465097053853,0.5532748432298628,0.7984629472760835,0.7827279709429827,0.815021721069199,0.5336168091555262,0.5902542769447306
age_class,lstm,30s,10,test,0.5,5.0,1862,18620,0.6393662728249194,0.612481737328051,0.5627730992638461,0.8187114721030945,0.692266380236305,0.67108591781345,0.6179495374126246,0.8547861078069907,0.6680988184747583,0.6585426236910266,0.5987266087060966,0.8547861078069907,,,,
age_class,lstm,30s,10,test,0.5,5.0,1859,18590,0.6568585260892953,0.5849690704360125,0.5722756059696632,0.8174712385390649,0.7073695535233997,0.6327465756728415,0.6226302041046344,0.8589980536607783,0.6826250672404519,0.6135840891291152,0.5992317303292913,0.8589980536607783,0.8450715001142692,0.8713757757105374,0.6040777130266889,0.6614805714078722
age_class,lstm,30s,100,test,0.5,50.0,1862,186070,0.6469715698393078,0.6195234156072715,0.5696945739632869,0.8225601642763412,0.6987110633727175,0.6790879581852707,0.6269564816901098,0.8624262575072041,0.6960257787325457,0.6775891572260381,0.6243998591570185,0.8624262575072041,,,,
age_class,lstm,30s,100,test,0.5,50.0,1859,185900,0.6623130715438408,0.5886272154233363,0.5766504592897271,0.8201650971344314,0.7079074771382464,0.623690130560358,0.6161208944090725,0.8643290165868631,0.7041420118343196,0.6206525884977404,0.6121493930068357,0.8643290165868631,0.8511724121309285,0.8767846621166573,0.594054210136219,0.6507513932470473
age_class,lstm,30s,12,test,0.5,6.0,1862,22344,0.6432599355531686,0.6171566635961421,0.5677094629637686,0.8196754883682905,0.6917293233082706,0.6740260502647986,0.6212409855711135,0.8573091965756499,0.6804511278195489,0.6707157952430095,0.6122375050914156,0.8573091965756499,,,,
age_class,lstm,30s,12,test,0.5,6.0,1859,22308,0.6592253899946208,0.5862017832542477,0.5744518872670167,0.8178657255831393,0.7073695535233997,0.6252033601580543,0.6183542337025157,0.8609549328613088,0.6890801506186122,0.6214551553734341,0.6095707235599194,0.8609549328613088,0.8480072696722317,0.8736330121590133,0.5972946374346533,0.6534275935163333
age_class,lstm,30s,120,test,0.5,60.0,1862,223270,0.6462578940296502,0.618440922677704,0.5688610421532935,0.8220627565721782,0.7003222341568206,0.6820621059775377,0.6295546644680812,0.8619749361431387,0.6933404940923737,0.6761625017076249,0.6209842095079581,0.8619749361431387,,,,
age_class,lstm,30s,120,test,0.5,60.0,1859,223080,0.6621032813340506,0.5888939217768908,0.5768625227385846,0.8204659639319859,0.7079074771382464,0.6260856330631345,0.6175777141435733,0.8651210530617505,0.7046799354491662,0.6224740821225127,0.6148309263742959,0.8651210530617505,0.8518661310456869,0.8775776082950759,0.5968973784878723,0.6535621734355749
age_class,lstm,30s,16,test,0.5,8.0,1862,29792,0.6475563909774437,0.6176938939582719,0.5688475284472095,0.8213073817128166,0.6938775510204082,0.6730032583404792,0.619975155818393,0.8600785196451346,0.6809881847475833,0.6634068174424085,0.6074593263989465,0.8600785196451346,,,,
age_class,lstm,30s,16,test,0.5,8.0,1859,29744,0.6606038192576654,0.5877003097556834,0.5750231676243223,0.8187968066749901,0.7025282409897795,0.617001097412966,0.6084946654450399,0.8619132375956967,0.7003765465303927,0.6284929851723784,0.6165150297450922,0.8619132375956967,0.8487447273888246,0.8747143472749518,0.5904257428083314,0.6445881012073938
age_class,lstm,30s,160,test,0.5,80.0,1862,297670,0.6465717069237746,0.6184438517918226,0.5689851486639773,0.822068979813789,0.7024704618689581,0.6826786340316903,0.6302948298858047,0.8621701135072574,0.7003222341568206,0.6826806914111813,0.6280517076026629,0.8621701135072574,,,,
age_class,lstm,30s,160,test,0.5,80.0,1859,297440,0.6616191500806885,0.5882457565078039,0.5760731676204941,0.8204085365691537,0.708445400753093,0.6248636598220552,0.6168539341594216,0.8644475735106955,0.7030661646046261,0.6204097761205057,0.6120046397235052,0.8644475735106955,0.8511052274138684,0.8766235544505043,0.5945806341539833,0.6517049019512675
age_class,lstm,30s,2,test,0.5,1.0,1862,3724,0.6160042964554243,0.5822182336491822,0.5411410716147571,0.795398196670047,0.6493018259935553,0.6186755468651844,0.5750006925777921,0.8179461731953923,0.560687432867884,0.5981162907697178,0.514898262879722,0.8179461731953923,,,,
age_class,lstm,30s,2,test,0.5,1.0,1859,3718,0.6285637439483593,0.5591055582461132,0.5461010055510658,0.7935507132570717,0.6584185045723507,0.5848186466522631,0.5752381965599386,0.818712837961896,0.5895642818719742,0.5921667967335236,0.5407460104743199,0.818712837961896,0.8029460423388936,0.8341204509585798,0.5560749866405869,0.6134637977001489
age_class,lstm,30s,20,test,0.5,10.0,1862,37240,0.648952738990333,0.6223626280855892,0.5724724586037553,0.8240587406865086,0.706766917293233,0.6919920480911085,0.6353812014348638,0.8634969562039941,0.6928034371643395,0.6803758777466702,0.6212203444257983,0.8634969562039941,,,,
age_class,lstm,30s,20,test,0.5,10.0,1859,37180,0.6611619150080689,0.5887334394779259,0.5762168085641397,0.8204525328541723,0.7079074771382464,0.6297770642920613,0.620617001452301,0.8635866608433656,0.6971490048413125,0.6216776143089714,0.6116052589453492,0.8635866608433656,0.85063270264424,0.8762151297121824,0.600549316536013,0.6574165805460405
age_class,lstm,30s,200,test,0.5,100.0,1862,372070,0.6468110839358185,0.6185356914250467,0.5691166856479213,0.8220890624707518,0.6997851772287863,0.6826721875759517,0.629039628973334,0.8623356331553902,0.7019334049409237,0.6859460955600652,0.6304305600120261,0.8623356331553902,,,,
age_class,lstm,30s,200,test,0.5,100.0,1859,371800,0.6630849919311458,0.5894909994571486,0.5774690781711554,0.8206235710924554,0.7079074771382464,0.623690130560358,0.6163695408794219,0.8651429181661463,0.7003765465303927,0.6170325337218888,0.6096074046363761,0.8651429181661463,0.8521452120484331,0.8776782392735949,0.5935194572899017,0.6516596643581543
age_class,lstm,30s,25,test,0.5,12.5,1862,46550,0.6481632653061224,0.6202720404321703,0.5707697680792684,0.8223412047954676,0.6987110633727175,0.6770491636889527,0.6243388234772723,0.861110216513037,0.6933404940923737,0.6779461125677356,0.621423335827913,0.861110216513037,,,,
age_class,lstm,30s,25,test,0.5,12.5,1859,46475,0.6619688004303389,0.5883892258359339,0.5761367817441513,0.8195771186164631,0.7046799354491662,0.6213090566960453,0.6130285304176012,0.8643348778723325,0.7014523937600861,0.6219059980477425,0.6121871999681995,0.8643348778723325,0.8512694245352442,0.8769921842750504,0.5931988411291299,0.6491151168642739
age_class,lstm,30s,250,test,0.5,125.0,1862,465070,0.6462274496312383,0.6181548326413293,0.5686041480138964,0.8220113494615978,0.6960257787325457,0.674349264582843,0.6228513549074248,0.8622158639094285,0.6917293233082706,0.6752632211320854,0.6199568042973745,0.8622158639094285,,,,
age_class,lstm,30s,250,test,0.5,125.0,1859,464750,0.6624787520172135,0.5894156115637661,0.5772882382651594,0.8205218077008904,0.7036040882194728,0.6203528283058938,0.6119941757447073,0.864913296352314,0.7014523937600861,0.6191537875385077,0.6111788360978448,0.864913296352314,0.8518273974317826,0.8772953128922789,0.5909899994805968,0.6473457223729491
