task,head,run_tag,context_length,k,split,context_length_min,total_compute_min,n_subjects,n_segments,seg_accuracy,seg_balanced_accuracy,seg_macro_f1,seg_auroc,mean_prob_accuracy,mean_prob_balanced_accuracy,mean_prob_macro_f1,mean_prob_auroc,majority_accuracy,majority_balanced_accuracy,majority_macro_f1,majority_auroc,mean_prob_auroc_ci_lo,mean_prob_auroc_ci_hi,mean_prob_bal_acc_ci_lo,mean_prob_bal_acc_ci_hi
age_class,lstm,abl_bas_only,120m,1,test,120.0,120.0,1859,1859,0.6428187197417967,0.593133027585605,0.563819979114519,0.8161177574147077,0.6428187197417967,0.593133027585605,0.563819979114519,0.8161177574147077,0.6428187197417967,0.593133027585605,0.563819979114519,0.8161177574147077,,,,
age_class,lstm,abl_bas_only,120m,5,test,120.0,600.0,1859,7705,0.6706035042180403,0.6254146679741578,0.5859916876447983,0.8358982692566382,0.6939214631522324,0.6541426084803591,0.6207238724217442,0.8582805590885675,0.6670252824098978,0.6428460301169597,0.5988669176553411,0.8582805590885675,,,,
age_class,lstm,abl_bas_only,120m,all,test,120.0,,1859,7832,0.6751787538304392,0.6273991584063783,0.5878008869508866,0.8385911886714438,0.6939214631522324,0.6541426084803591,0.6207238724217442,0.858369001940099,0.6670252824098978,0.6428460301169597,0.5988669176553411,0.858369001940099,,,,
age_class,lstm,abl_cardio,120m,1,test,120.0,120.0,1859,1859,0.6557288864981172,0.566528430551687,0.559307411974928,0.7971976396590575,0.6557288864981172,0.566528430551687,0.559307411974928,0.7971976396590575,0.6557288864981172,0.566528430551687,0.559307411974928,0.7971976396590575,,,,
age_class,lstm,abl_cardio,120m,5,test,120.0,600.0,1859,7705,0.6606099935107074,0.5805122432294257,0.5649420155546936,0.8068282297113972,0.6756320602474448,0.599077626632562,0.5920515700228425,0.8243866658950126,0.6541151156535772,0.6021442002310256,0.5807553334993502,0.8243866658950126,,,,
age_class,lstm,abl_cardio,120m,all,test,120.0,,1859,7832,0.6652196118488254,0.582133316347902,0.5665903777994693,0.8099490078089638,0.6756320602474448,0.5978471495562532,0.5910363511997592,0.8243372343669516,0.6546530392684239,0.6015047397031799,0.5806487846650059,0.8243372343669516,,,,
age_class,lstm,abl_no_bas,120m,1,test,120.0,120.0,1859,1859,0.6734803657880581,0.5680329820552348,0.5728360309641097,0.8158614207101372,0.6734803657880581,0.5680329820552348,0.5728360309641097,0.8158614207101372,0.6734803657880581,0.5680329820552348,0.5728360309641097,0.8158614207101372,,,,
age_class,lstm,abl_no_bas,120m,5,test,120.0,600.0,1859,7705,0.691628812459442,0.5871851814054608,0.5834830049366695,0.8328881614772383,0.6955352339967724,0.6043076247059556,0.6036298631354818,0.8473679353463043,0.6831629908552985,0.6047960027513392,0.5952760590195145,0.8473679353463043,,,,
age_class,lstm,abl_no_bas,120m,all,test,120.0,,1859,7832,0.6956077630234934,0.5885593257241012,0.5848947308104929,0.8358475868596674,0.6960731576116191,0.604898641254419,0.6041460469348263,0.847439236530461,0.6826250672404519,0.6029745091265669,0.5937600626814379,0.847439236530461,,,,
age_class,lstm,abl_no_ekg,120m,1,test,120.0,120.0,1859,1859,0.6874663797740721,0.6337835207941077,0.6070299460356104,0.8410976398478747,0.6874663797740721,0.6337835207941077,0.6070299460356104,0.8410976398478747,0.6874663797740721,0.6337835207941077,0.6070299460356104,0.8410976398478747,,,,
age_class,lstm,abl_no_ekg,120m,5,test,120.0,600.0,1859,7705,0.7131732641142116,0.6345248727104401,0.6132302511111902,0.8579977013620735,0.7251210328133405,0.6445007579565926,0.6300576986192429,0.8763535858936922,0.7181280258203335,0.669320455738653,0.6396179702504825,0.8763535858936922,,,,
age_class,lstm,abl_no_ekg,120m,all,test,120.0,,1859,7832,0.716802860061287,0.6350598747887707,0.6139460263680193,0.8604348196147464,0.7251210328133405,0.6445007579565926,0.6300576986192429,0.8763641557027606,0.7170521785906401,0.6681384226417263,0.6382592988234658,0.8763641557027606,,,,
age_class,lstm,abl_no_resp,120m,1,test,120.0,120.0,1859,1859,0.7073695535233997,0.6301023708413807,0.6265754834645845,0.8533740312118435,0.7073695535233997,0.6301023708413807,0.6265754834645845,0.8533740312118435,0.7073695535233997,0.6301023708413807,0.6265754834645845,0.8533740312118435,,,,
age_class,lstm,abl_no_resp,120m,5,test,120.0,600.0,1859,7705,0.7257624918883842,0.631206374148366,0.6252285309825223,0.8642664532250155,0.7520172135556751,0.6681184525696499,0.6671498960530915,0.8850193050208987,0.7358795051102743,0.6676735346985753,0.6574714463139796,0.8850193050208987,,,,
age_class,lstm,abl_no_resp,120m,all,test,120.0,,1859,7832,0.7298263534218591,0.6329280077728926,0.6268081783583622,0.8668132659455573,0.7520172135556751,0.6681184525696499,0.6671498960530915,0.8852516382656507,0.7358795051102743,0.6676735346985753,0.6574714463139796,0.8852516382656507,,,,
apnea_binary,lstm,abl_bas_only,120m,1,test,120.0,120.0,1860,1860,0.613978494623656,0.6157055794309425,0.6137422472526264,0.6624509113811501,0.613978494623656,0.6157055794309425,0.6137422472526264,0.6624509113811501,0.613978494623656,0.6157055794309425,0.6137422472526264,0.6624509113811501,,,,
apnea_binary,lstm,abl_bas_only,120m,5,test,120.0,600.0,1860,7691,0.6307372253283058,0.6316068311381581,0.6307234347702537,0.6861301832934728,0.6655913978494624,0.666600288974511,0.6655879180151025,0.7288826318909307,0.6510752688172043,0.6538951355957321,0.6500839614134042,0.7288826318909307,,,,
apnea_binary,lstm,abl_bas_only,120m,all,test,120.0,,1860,7838,0.6303904057157438,0.6311999828797479,0.6303469325118968,0.6854642338422889,0.6661290322580645,0.6671189611736811,0.6661266195992283,0.7290933424718435,0.6489247311827957,0.6519385373443983,0.6477149094807321,0.7290933424718435,,,,
apnea_binary,lstm,abl_cardio,120m,1,test,120.0,120.0,1860,1860,0.6048387096774194,0.6065338804090101,0.6046072753302532,0.6589602937907528,0.6048387096774194,0.6065338804090101,0.6046072753302532,0.6589602937907528,0.6048387096774194,0.6065338804090101,0.6046072753302532,0.6589602937907528,,,,
apnea_binary,lstm,abl_cardio,120m,5,test,120.0,600.0,1860,7691,0.6514107398257704,0.6544254350381506,0.6507441531669501,0.7205983092191939,0.7021505376344086,0.7054914419087137,0.7008635835290922,0.7651804238292828,0.6833333333333333,0.6879677311796089,0.6800295804845907,0.7651804238292828,,,,
apnea_binary,lstm,abl_cardio,120m,all,test,120.0,,1860,7838,0.6515692778770095,0.6546756720237267,0.6510477942390125,0.7207631404623396,0.7026881720430107,0.7060101141078838,0.7014246033116796,0.7659595898784826,0.6817204301075269,0.686451078097214,0.6782198760711684,0.7659595898784826,,,,
apnea_binary,lstm,abl_no_bas,120m,1,test,120.0,120.0,1860,1860,0.6537634408602151,0.653103234291642,0.6531534818428523,0.7019927200652045,0.6537634408602151,0.653103234291642,0.6531534818428523,0.7019927200652045,0.6537634408602151,0.653103234291642,0.6531534818428523,0.7019927200652045,,,,
apnea_binary,lstm,abl_no_bas,120m,5,test,120.0,600.0,1860,7691,0.6800156026524509,0.681033906934976,0.6800085916891045,0.7416751482102317,0.7161290322580646,0.7172449244220509,0.7161237807613506,0.7916662807498518,0.706989247311828,0.7099626741256668,0.7060879544191331,0.7916662807498518,,,,
apnea_binary,lstm,abl_no_bas,120m,all,test,120.0,,1860,7838,0.678872161265629,0.6798516423143475,0.6788443032080251,0.7409392663619601,0.7166666666666667,0.7178029601363367,0.7166600327964668,0.7919510873592174,0.7053763440860215,0.7084853845583876,0.7043422770123278,0.7919510873592174,,,,
apnea_binary,lstm,abl_no_ekg,120m,1,test,120.0,120.0,1860,1860,0.65,0.650259799199763,0.6499027507641011,0.7089473269857736,0.65,0.650259799199763,0.6499027507641011,0.7089473269857736,0.65,0.650259799199763,0.6499027507641011,0.7089473269857736,,,,
apnea_binary,lstm,abl_no_ekg,120m,5,test,120.0,600.0,1860,7691,0.6784553374073593,0.679481858980925,0.6784490533230375,0.7496339793939137,0.7236559139784946,0.7242701541197392,0.723630031255095,0.7931921958358032,0.6989247311827957,0.7012772302904564,0.6984729111954089,0.7931921958358032,,,,
apnea_binary,lstm,abl_no_ekg,120m,all,test,120.0,,1860,7838,0.6781066598622097,0.6791193992096367,0.678083137398155,0.749737144755582,0.7236559139784946,0.7242307906046236,0.7236239592969472,0.7936969750296384,0.7005376344086022,0.7030694279786603,0.6999686363229607,0.7936969750296384,,,,
apnea_binary,lstm,abl_no_resp,120m,1,test,120.0,120.0,1860,1860,0.646774193548387,0.6465966767931239,0.646487161069327,0.7101068140560166,0.646774193548387,0.6465966767931239,0.646487161069327,0.7101068140560166,0.646774193548387,0.6465966767931239,0.646487161069327,0.7101068140560166,,,,
apnea_binary,lstm,abl_no_resp,120m,5,test,120.0,600.0,1860,7691,0.6646729944090496,0.6657409116060575,0.66467025061302,0.729995581739047,0.7048387096774194,0.7062347176941316,0.7047935702967647,0.7745859884410196,0.696236559139785,0.6991562314759929,0.6953382313846557,0.7745859884410196,,,,
apnea_binary,lstm,abl_no_resp,120m,all,test,120.0,,1860,7838,0.6634345496300077,0.6645272875876801,0.6634219267696901,0.728907819903559,0.7053763440860215,0.7067140263781861,0.7053422756706753,0.7746681887225846,0.6924731182795699,0.6955255260818021,0.6914327876155473,0.7746681887225846,,,,
bmi_binary,lstm,abl_bas_only,40m,1,test,40.0,40.0,1856,1856,0.6363146551724138,0.6410255008310735,0.6147619245298683,0.6977243898171639,0.6363146551724138,0.6410255008310735,0.6147619245298683,0.6977243898171639,0.6363146551724138,0.6410255008310735,0.6147619245298683,0.6977243898171639,,,,
bmi_binary,lstm,abl_bas_only,40m,10,test,40.0,400.0,1856,18514,0.6753807929134709,0.6508545848247875,0.6394574795993959,0.7002851933210381,0.7289870689655172,0.6826994576152567,0.6820669895827054,0.7423604124748491,0.728448275862069,0.673945849007086,0.6761243949560629,0.7423604124748491,,,,
bmi_binary,lstm,abl_bas_only,40m,20,test,40.0,800.0,1856,25227,0.6775676854164189,0.6471130899196883,0.6372852105871862,0.6972801887988743,0.7295258620689655,0.6835797393053975,0.6828529725725987,0.7414732962995364,0.7241379310344828,0.6767452541334966,0.6762209789637947,0.7414732962995364,,,,
bmi_binary,lstm,abl_bas_only,40m,5,test,40.0,200.0,1856,9280,0.6622844827586207,0.6426121949085819,0.6288840469874952,0.6937850199020208,0.7219827586206896,0.6801132884262093,0.6773952751364599,0.7340401102265769,0.7149784482758621,0.6765429533724083,0.6721236802866593,0.7340401102265769,,,,
bmi_binary,lstm,abl_bas_only,40m,all,test,40.0,,1856,25261,0.6775662087803334,0.6470911657841893,0.6372009257395311,0.6972676654773249,0.7295258620689655,0.6835797393053975,0.6828529725725987,0.7415430080482899,0.7241379310344828,0.6767452541334966,0.6762209789637947,0.7415430080482899,,,,
bmi_binary,lstm,abl_cardio,40m,1,test,40.0,40.0,1856,1856,0.6702586206896551,0.6084004024144869,0.6091260091260092,0.6574460349050827,0.6702586206896551,0.6084004024144869,0.6091260091260092,0.6574460349050827,0.6702586206896551,0.6084004024144869,0.6091260091260092,0.6574460349050827,,,,
bmi_binary,lstm,abl_cardio,40m,10,test,40.0,400.0,1856,18514,0.6701955277087609,0.6039716059907685,0.6054887549246865,0.6487937282083421,0.6961206896551724,0.6167002012072434,0.6215203054494967,0.6734250612369872,0.6955818965517241,0.6045020120724346,0.6096042768405436,0.6734250612369872,,,,
