task,head,run_tag,context_length,k,split,context_length_min,total_compute_min,n_subjects,n_segments,seg_accuracy,seg_balanced_accuracy,seg_macro_f1,seg_auroc,mean_prob_accuracy,mean_prob_balanced_accuracy,mean_prob_macro_f1,mean_prob_auroc,majority_accuracy,majority_balanced_accuracy,majority_macro_f1,majority_auroc,mean_prob_auroc_ci_lo,mean_prob_auroc_ci_hi,mean_prob_bal_acc_ci_lo,mean_prob_bal_acc_ci_hi
age_class,lstm,,30s,1,test,0.5,0.5,1859,1859,0.6546530392684239,0.5631406977661679,0.5616762861707768,0.806435988963926,0.6546530392684239,0.5631406977661679,0.5616762861707768,0.806435988963926,0.6546530392684239,0.5631406977661679,0.5616762861707768,0.806435988963926,0.7898626164056237,0.8232556894425305,0.534426760062364,0.5905246731300021
age_class,lstm,,30s,10,test,0.5,5.0,1859,18590,0.6553523399677246,0.5950574211018349,0.578162559507934,0.8197405214147276,0.6960731576116191,0.6325679951330181,0.618186432738984,0.8659931136148028,0.6885422270037654,0.6352666035988789,0.6176212178674859,0.8659931136148028,0.8541702812161103,0.8782404417760401,0.6055585053009763,0.66117541924824
age_class,lstm,,30s,100,test,0.5,50.0,1859,185900,0.6547713824636902,0.5989820978933631,0.5794896924636006,0.8226563302396931,0.6939214631522324,0.6358687030145678,0.6198629898423007,0.8711238964626314,0.691231845077999,0.6294479937500994,0.6133744802990426,0.8711238964626314,0.8595426951343964,0.8828335362185997,0.6086716751583829,0.6642646995792622
age_class,lstm,,30s,12,test,0.5,6.0,1859,22308,0.6527254796485565,0.5914597295538758,0.5739542834343475,0.8197536123483392,0.6976869284561592,0.631654285919015,0.618404360046152,0.8666873854155951,0.6831629908552985,0.6278347046813195,0.6106995934349517,0.8666873854155951,0.8548775025039739,0.8792784322218926,0.6044165700979816,0.6584957508427641
age_class,lstm,,30s,120,test,0.5,60.0,1859,223080,0.6547426932042316,0.5994931539944187,0.5796415630372098,0.8224611300947497,0.691231845077999,0.6328481686224093,0.6168277530945222,0.8712226573293478,0.6863905325443787,0.6252938702403964,0.609153448265135,0.8712226573293478,0.8595071624670771,0.8828241468523642,0.6051441445450593,0.6598885936892969
age_class,lstm,,30s,16,test,0.5,8.0,1859,29744,0.6553254437869822,0.597778935902551,0.578568306683903,0.8221933120257443,0.6906939214631522,0.6296358448643945,0.6124788869070523,0.8692475558369566,0.6890801506186122,0.6368622925168759,0.6176220865242008,0.8692475558369566,0.8575349416780433,0.8812497479120247,0.6012419204257056,0.656929702968722
age_class,lstm,,30s,160,test,0.5,80.0,1859,297440,0.6551909628832706,0.5989630860275156,0.5796277645682981,0.8225425971416772,0.6944593867670791,0.6376901966393401,0.6211870951615346,0.8709322473309227,0.684238838084992,0.6240948294730103,0.6082821758483076,0.8709322473309227,0.8593561471176011,0.8829135013668146,0.6103984399130772,0.6651170452313815
age_class,lstm,,30s,2,test,0.5,1.0,1859,3718,0.6490048413125337,0.5736855405804411,0.5636056977315974,0.8014036518851663,0.6654115115653577,0.5901423611721017,0.5817889014857065,0.829585397272148,0.6137708445400754,0.6120341954549371,0.5610996060648116,0.829585397272148,0.8143086232568506,0.8445521073355968,0.5611045494530865,0.6181185564227629
age_class,lstm,,30s,20,test,0.5,10.0,1859,37180,0.6562399139322216,0.5997156843761128,0.5807913897653473,0.8231837373801766,0.692845615922539,0.6328736801280984,0.6175658477880188,0.8710779285904771,0.6906939214631522,0.6365310960161065,0.6191911359071665,0.8710779285904771,0.8593007392834319,0.882711532192763,0.6045099846852158,0.6586799431572479
age_class,lstm,,30s,200,test,0.5,100.0,1859,371800,0.6544755244755245,0.5992106224333403,0.5794323270290045,0.8228264902973444,0.6933835395373857,0.6389036660451897,0.6221259147440569,0.8715941434777156,0.6863905325443787,0.6246459058773212,0.6092267321395729,0.8715941434777156,0.8598598994639023,0.8830996356096088,0.6126432821412134,0.6661063021666835
