k,n_subjects,n_segments,seg_accuracy,seg_balanced_accuracy,seg_macro_f1,seg_auroc,mean_prob_accuracy,mean_prob_balanced_accuracy,mean_prob_macro_f1,mean_prob_auroc,majority_accuracy,majority_balanced_accuracy,majority_macro_f1,majority_auroc,context_length
1,590,590,0.4864406779661017,0.5322178026105518,0.4317744770526142,0.5387558469129466,0.4864406779661017,0.5322178026105518,0.4317744770526142,0.5387558469129466,0.4864406779661017,0.5322178026105518,0.4317744770526142,0.5387558469129466,10m
5,590,2950,0.5057627118644068,0.5308775326902215,0.49573500922217206,0.5396572921648449,0.4915254237288136,0.5224719756441811,0.4725172549440332,0.5532666892183509,0.49830508474576274,0.532713550840439,0.47352554594894425,0.5532666892183509,10m
10,590,5900,0.5045762711864407,0.52851835434917,0.49583221158482893,0.5446010684832436,0.5016949152542373,0.5332151314024426,0.48236965240641716,0.557734255619452,0.5,0.5275052782605653,0.4866917348669173,0.557734255619452,10m
20,590,11800,0.5044915254237288,0.528253858087695,0.4959395520222001,0.5452878110091101,0.4966101694915254,0.5291033372604369,0.47526344631804013,0.5607670683199384,0.48983050847457626,0.5201215458013041,0.4718026048498152,0.5607670683199384,10m
50,590,29363,0.5060450226475497,0.5296348971349585,0.49755453965560925,0.5464079205935085,0.5,0.5321244852966907,0.4795326708750609,0.5602304937652369,0.5016949152542373,0.5336350593148176,0.4816581202710941,0.5602304937652369,10m
all,590,40290,0.5091586001489203,0.530881158281262,0.5038075506520563,0.5492998098422164,0.5033898305084745,0.5351456333329445,0.48377752892870474,0.5611986608965461,0.49830508474576274,0.5310338391909388,0.4766556787533712,0.5611986608965461,10m
1,590,590,0.5305084745762711,0.5370586382670975,0.5304423776975213,0.52737113462189,0.5305084745762711,0.5370586382670975,0.5304423776975213,0.52737113462189,0.5305084745762711,0.5370586382670975,0.5304423776975213,0.52737113462189,30s
5,590,2950,0.5071186440677966,0.5271308425386975,0.5021740785583766,0.5310758319821764,0.5067796610169492,0.5394265651063235,0.4858641847762615,0.5456613281386695,0.5084745762711864,0.5388374995625751,0.49143373479651403,0.5456613281386695,30s
10,590,5900,0.5101694915254237,0.5285900920342008,0.506481929035974,0.5404108294742735,0.5016949152542373,0.5315354197529424,0.4850740951838131,0.5592973206266258,0.5220338983050847,0.5425235334600893,0.5170391872278665,0.5592973206266258,30s
20,590,11800,0.5078813559322034,0.5283984999241798,0.5025375683319708,0.542080771967479,0.5152542372881356,0.5469794351969579,0.4964548319327731,0.5649896767721541,0.511864406779661,0.5401789359493288,0.4980147475893364,0.5649896767721541,30s
50,590,29500,0.5063728813559322,0.5270708861645417,0.5008393907505507,0.5443611986608965,0.49830508474576274,0.531873695015689,0.4751205203111287,0.5665410771150953,0.5084745762711864,0.5392574274749501,0.49077380952380956,0.5665410771150953,30s
all,590,808680,0.5095278725824801,0.528710302621314,0.5060043833780092,0.5458929338085088,0.49322033898305084,0.5273419729613084,0.46859816068271026,0.5673226096186821,0.5,0.5321244852966907,0.4795326708750609,0.5673226096186821,30s
1,590,590,0.49322033898305084,0.49584737953318014,0.49244902480356534,0.49160727408461546,0.49322033898305084,0.49584737953318014,0.49244902480356534,0.49160727408461546,0.49322033898305084,0.49584737953318014,0.49244902480356534,0.49160727408461546,40m
5,590,2950,0.5077966101694915,0.5207642688005226,0.5068970407836232,0.5192483290368487,0.5101694915254237,0.5319495153332011,0.5037702518254654,0.5300306780669318,0.5305084745762711,0.550916259375474,0.5257661359356275,0.5300306780669318,40m
10,590,5893,0.5056847106736806,0.5196539597397041,0.5043657385861304,0.5218702284721524,0.5016949152542373,0.5235567894178166,0.4949865492785522,0.5296574088114874,0.5067796610169492,0.5205298090494465,0.5055851684189611,0.5296574088114874,40m
20,590,9622,0.507482851797963,0.5214349198622206,0.5064926642791681,0.5251929203813346,0.49491525423728816,0.517094565432934,0.48770396270396266,0.5349764957015712,0.5,0.5182668641883144,0.49623587911976597,0.5349764957015712,40m
all,590,9842,0.5083316399105873,0.5215401455222302,0.5076091597191087,0.5249007978475172,0.4915254237288136,0.5132335615719301,0.48468015232505324,0.5342299571906823,0.49830508474576274,0.5167562901701874,0.49437746818144973,0.5342299571906823,40m
