Task,Head,L*,AUROC@30s,AUROC@L*,Δ(30s→L*)
Sex,lstm,120m,0.825,0.872,+0.047
Sex,transformer,240m,0.832,0.910,+0.079
Age group,lstm,80m,0.865,0.893,+0.028
Age group,transformer,120m,0.854,0.905,+0.051
BMI (obese),lstm,10m,0.760,0.767,+0.006
BMI (obese),transformer,240m,0.747,0.777,+0.030
Sleep apnea (AHI≥15),lstm,120m,0.758,0.832,+0.074
Sleep apnea (AHI≥15),transformer,120m,0.753,0.857,+0.103
Sleep efficiency,lstm,240m,0.697,0.788,+0.091
Sleep efficiency,transformer,240m,0.707,0.831,+0.124
Depression (extreme),lstm,10m,0.757,0.770,+0.013
Depression (extreme),transformer,30s,0.756,0.756,+0.000
OSA (APPLES),lstm,40m,0.769,0.834,+0.064
OSA (APPLES),transformer,80m,0.789,0.888,+0.098
