task,context,context_min,dataset,n_subjects,auroc
apnea_binary,30s,0.5,POOLED,2054,0.7534077990884724
apnea_binary,30s,0.5,apples,168,0.7931034482758621
apnea_binary,30s,0.5,mros,408,0.7056952034001215
apnea_binary,30s,0.5,shhs,1278,0.7422543926906415
apnea_binary,30s,0.5,stages,200,0.7113899613899615
apnea_binary,10m,10.0,POOLED,2054,0.79266207963683
apnea_binary,10m,10.0,apples,168,0.8581709145427286
apnea_binary,10m,10.0,mros,408,0.7838979963570127
apnea_binary,10m,10.0,shhs,1278,0.7755370213773092
apnea_binary,10m,10.0,stages,200,0.7975117975117977
apnea_binary,40m,40.0,POOLED,2054,0.8248689453908313
apnea_binary,40m,40.0,apples,168,0.9070464767616191
apnea_binary,40m,40.0,mros,408,0.8252823315118397
apnea_binary,40m,40.0,shhs,1278,0.8077989827842522
apnea_binary,40m,40.0,stages,200,0.8294723294723295
apnea_binary,80m,80.0,POOLED,2054,0.8467052174382983
apnea_binary,80m,80.0,apples,168,0.9193403298350824
apnea_binary,80m,80.0,mros,408,0.8624893746205222
apnea_binary,80m,80.0,shhs,1278,0.8211391534378489
apnea_binary,80m,80.0,stages,200,0.8589661089661089
apnea_binary,120m,120.0,POOLED,2054,0.8568985117278349
apnea_binary,120m,120.0,apples,168,0.9175412293853072
apnea_binary,120m,120.0,mros,408,0.860522161505768
apnea_binary,120m,120.0,shhs,1278,0.8354728721922404
apnea_binary,120m,120.0,stages,200,0.8627198627198628
apnea_binary,240m,240.0,POOLED,2054,0.8537516841074302
apnea_binary,240m,240.0,apples,168,0.9118440779610195
apnea_binary,240m,240.0,mros,408,0.8547662416514876
apnea_binary,240m,240.0,shhs,1278,0.8303079012960503
apnea_binary,240m,240.0,stages,200,0.8451308451308451
sleep_efficiency_binary,30s,0.5,POOLED,2023,0.7070294442871892
sleep_efficiency_binary,30s,0.5,apples,171,0.6673481308411215
sleep_efficiency_binary,30s,0.5,mros,571,0.6706967759126032
sleep_efficiency_binary,30s,0.5,shhs,1281,0.6811025546999144
sleep_efficiency_binary,10m,10.0,POOLED,2023,0.7105228860655354
sleep_efficiency_binary,10m,10.0,apples,171,0.6651577102803738
sleep_efficiency_binary,10m,10.0,mros,571,0.6768585131894485
sleep_efficiency_binary,10m,10.0,shhs,1281,0.6910059894878378
sleep_efficiency_binary,40m,40.0,POOLED,2023,0.7598291868864078
sleep_efficiency_binary,40m,40.0,apples,171,0.7746787383177569
sleep_efficiency_binary,40m,40.0,mros,571,0.7413569144684253
sleep_efficiency_binary,40m,40.0,shhs,1281,0.7471287128712871
sleep_efficiency_binary,80m,80.0,POOLED,2020,0.7955684491716498
sleep_efficiency_binary,80m,80.0,apples,168,0.7909297052154195
sleep_efficiency_binary,80m,80.0,mros,571,0.7595756727950973
sleep_efficiency_binary,80m,80.0,shhs,1281,0.7935240190685735
sleep_efficiency_binary,120m,120.0,POOLED,2020,0.814608657647943
sleep_efficiency_binary,120m,120.0,apples,168,0.837339380196523
sleep_efficiency_binary,120m,120.0,mros,571,0.7772448707700506
sleep_efficiency_binary,120m,120.0,shhs,1281,0.8082532697714216
sleep_efficiency_binary,240m,240.0,POOLED,2020,0.831392142927164
sleep_efficiency_binary,240m,240.0,apples,168,0.8698412698412699
sleep_efficiency_binary,240m,240.0,mros,571,0.7765953903543831
sleep_efficiency_binary,240m,240.0,shhs,1281,0.8240606282850508
bmi_binary,30s,0.5,POOLED,1856,0.747080307934564
bmi_binary,30s,0.5,apples,167,0.7231588287488908
bmi_binary,30s,0.5,mros,435,0.7063703604984342
bmi_binary,30s,0.5,shhs,1254,0.7257782567049809
bmi_binary,10m,10.0,POOLED,1856,0.7552584528912606
bmi_binary,10m,10.0,apples,167,0.7247855664004732
bmi_binary,10m,10.0,mros,435,0.7264609848737257
bmi_binary,10m,10.0,shhs,1254,0.7316151819923372
bmi_binary,40m,40.0,POOLED,1856,0.7550916914530662
bmi_binary,40m,40.0,apples,167,0.7290742383910085
bmi_binary,40m,40.0,mros,435,0.7338575331511961
bmi_binary,40m,40.0,shhs,1254,0.7294659961685823
bmi_binary,80m,80.0,POOLED,1856,0.7687825321494182
bmi_binary,80m,80.0,apples,167,0.7447500739426206
bmi_binary,80m,80.0,mros,435,0.7717065369494236
bmi_binary,80m,80.0,shhs,1254,0.7436512212643678
bmi_binary,120m,120.0,POOLED,1856,0.7655648565304873
bmi_binary,120m,120.0,apples,167,0.7633836143152914
bmi_binary,120m,120.0,mros,435,0.7628440061304725
bmi_binary,120m,120.0,shhs,1254,0.7404633620689656
bmi_binary,240m,240.0,POOLED,1856,0.7769060012247396
bmi_binary,240m,240.0,apples,167,0.7763975155279501
bmi_binary,240m,240.0,mros,435,0.7423868861198109
bmi_binary,240m,240.0,shhs,1254,0.7583722461685825
age_class,30s,0.5,POOLED,1859,0.8537748259672565
age_class,30s,0.5,apples,165,0.719717932872428
age_class,30s,0.5,mros,439,
age_class,30s,0.5,shhs,1255,0.7875972970747167
age_class,10m,10.0,POOLED,1859,0.8699408814321211
age_class,10m,10.0,apples,165,0.743934879999557
age_class,10m,10.0,mros,439,
