task,held_out_context,context_min,actual_auroc,predicted_auroc,error_auroc_points,abs_error_auroc_points
sex_binary,120m,120.0,0.9053485523930828,0.8897510161862018,-0.01559753620688098,0.01559753620688098
sex_binary,240m,240.0,0.910349287218929,0.8972802535810116,-0.013069033637917449,0.013069033637917449
age_class,120m,120.0,0.9015803688239278,0.8931012244902553,-0.008479144333672473,0.008479144333672473
age_class,240m,240.0,0.9050369120977336,0.8982249284398582,-0.006811983657875387,0.006811983657875387
apnea_binary,120m,120.0,0.8568985117278349,0.8450553529210258,-0.011843158806809084,0.011843158806809084
apnea_binary,240m,240.0,0.8537516841074302,0.8562766845544488,0.002525000447018644,0.002525000447018644
bmi_binary,120m,120.0,0.7655648565304873,0.7645814098985756,-0.000983446631911744,0.000983446631911744
bmi_binary,240m,240.0,0.7769060012247396,0.7669070132559097,-0.00999898796882992,0.00999898796882992
sleep_efficiency_binary,120m,120.0,0.814608657647943,0.7793098908682271,-0.035298766779715884,0.035298766779715884
sleep_efficiency_binary,240m,240.0,0.831392142927164,0.7893811600485288,-0.04201098287863525,0.04201098287863525
depression_extreme_binary,120m,120.0,0.7540650406504065,0.748424797088551,-0.00564024356185544,0.00564024356185544
depression_extreme_binary,240m,240.0,0.7455284552845529,0.7484247970902187,0.002896341805665781,0.002896341805665781
osa_binary_apples_postqc,120m,120.0,0.855788096795291,0.8738852753082331,0.018097178512942125,0.018097178512942125
osa_binary_apples_postqc,240m,240.0,0.8613472858077175,0.8850419226154258,0.023694636807708336,0.023694636807708336
