task,n_train_points,train_contexts,held_out_context,context_min,actual_auroc,predicted_auroc,error_auroc_points,abs_error_auroc_points,fit_succeeded
sex_binary,4,"30s,10m,40m,80m",120m,120.0,0.9053485523930828,0.8897510161862018,-0.01559753620688098,0.01559753620688098,True
sex_binary,4,"30s,10m,40m,80m",240m,240.0,0.910349287218929,0.8972802535810116,-0.013069033637917449,0.013069033637917449,True
sex_binary,3,"30s,10m,40m",80m,80.0,0.8971596531622006,0.8738422097796531,-0.023317443382547487,0.023317443382547487,True
sex_binary,3,"30s,10m,40m",120m,120.0,0.9053485523930828,0.8772038077808239,-0.02814474461225891,0.02814474461225891,True
sex_binary,3,"30s,10m,40m",240m,240.0,0.910349287218929,0.8829087505591018,-0.027440536659827264,0.027440536659827264,True
sex_binary,2,"30s,10m",40m,40.0,0.871613187674521,0.8596404663758752,-0.011972721298645794,0.011972721298645794,True
sex_binary,2,"30s,10m",80m,80.0,0.8971596531622006,0.8637318765970751,-0.03342777656512552,0.03342777656512552,True
sex_binary,2,"30s,10m",120m,120.0,0.9053485523930828,0.8660868179119767,-0.039261734481106036,0.039261734481106036,True
sex_binary,2,"30s,10m",240m,240.0,0.910349287218929,0.8700481476371404,-0.0403011395817886,0.0403011395817886,True
age_class,4,"30s,10m,40m,80m",120m,120.0,0.9015803688239278,0.8931012244902553,-0.008479144333672473,0.008479144333672473,True
age_class,4,"30s,10m,40m,80m",240m,240.0,0.9050369120977336,0.8982249284398582,-0.006811983657875387,0.006811983657875387,True
age_class,3,"30s,10m,40m",80m,80.0,0.8995110219050554,0.8806847403994358,-0.018826281505619602,0.018826281505619602,True
age_class,3,"30s,10m,40m",120m,120.0,0.9015803688239278,0.8827355541452213,-0.018844814678706467,0.018844814678706467,True
age_class,3,"30s,10m,40m",240m,240.0,0.9050369120977336,0.8862086758045552,-0.018828236293178424,0.018828236293178424,True
age_class,2,"30s,10m",40m,40.0,0.8771457469274351,0.8770333575825913,-0.00011238934484381069,0.00011238934484381069,True
age_class,2,"30s,10m",80m,80.0,0.8995110219050554,0.8804912801204048,-0.0190197417846506,0.0190197417846506,True
age_class,2,"30s,10m",120m,120.0,0.9015803688239278,0.8824872594194805,-0.019093109404447306,0.019093109404447306,True
age_class,2,"30s,10m",240m,240.0,0.9050369120977336,0.8858542932205125,-0.01918261887722117,0.01918261887722117,True
apnea_binary,4,"30s,10m,40m,80m",120m,120.0,0.8568985117278349,0.8450553529210258,-0.011843158806809084,0.011843158806809084,True
