task,held_out_context,K,actual,predicted,error
sex_binary,30s,1,0.6953412041346201,0.5836844689211907,-0.11165673521342934
sex_binary,30s,10,0.8267574584823398,0.6616306446394522,-0.16512681384288763
sex_binary,30s,100,0.8315426443932789,0.6710842119741205,-0.16045843241915836
sex_binary,30s,12,0.8268573947974331,0.6632856775047259,-0.16357171729270725
sex_binary,30s,120,0.8312016852006074,0.6712849397774896,-0.15991674542311785
sex_binary,30s,16,0.8279958849752608,0.6653949161370611,-0.16260096883819963
sex_binary,30s,160,0.8316798118845834,0.6715407551430533,-0.16013905674153006
sex_binary,30s,2,0.7405320139127025,0.6253841907344839,-0.11514782317821859
sex_binary,30s,20,0.8310605986381228,0.6666881233979199,-0.16437247524020282
sex_binary,30s,200,0.8311664135599863,0.6716975995527444,-0.1594688140072419
sex_binary,30s,25,0.8283975897712242,0.6677422172214323,-0.1606553725497919
sex_binary,30s,250,0.8318522510165092,0.6718254435020571,-0.16002680751445209
sex_binary,30s,3,0.7895595943761329,0.6399694079004863,-0.1495901864756466
sex_binary,30s,30,0.8281957576054475,0.668457066278042,-0.15973869132740548
sex_binary,30s,320,0.8317229216675648,0.671939523266561,-0.15978339840100375
sex_binary,30s,4,0.8068956057414391,0.6474810092889414,-0.15941459645249778
sex_binary,30s,40,0.8311350609905452,0.6693680978823842,-0.16176696310816108
sex_binary,30s,400,0.8317033263116642,0.6720226356306612,-0.159680690681003
sex_binary,30s,5,0.8153059324939989,0.6520864898198343,-0.16321944267416455
sex_binary,30s,50,0.8306784891980601,0.6699266656364287,-0.16075182356163142
sex_binary,30s,500,0.8318600891588693,0.6720903805562484,-0.15976970860262096
sex_binary,30s,6,0.8136579630627542,0.6552097634215833,-0.15844819964117085
sex_binary,30s,60,0.8303277323274384,0.670305466482354,-0.1600222658450844
sex_binary,30s,8,0.8197775927105275,0.6591901854895595,-0.16058740722096798
sex_binary,30s,80,0.8318032626267575,0.6707882250999933,-0.16101503752676427
sex_binary,10m,1,0.7414921863518346,0.7925645684226467,0.051072382070812106
sex_binary,10m,10,0.8475696859844217,0.8718740170533851,0.024304331068963347
sex_binary,10m,12,0.8498525449468477,0.8738106526995708,0.023958107752723112
sex_binary,10m,16,0.8500818106108853,0.8763291270974458,0.026247316486560535
sex_binary,10m,2,0.7767001420663303,0.8332613584382191,0.05656121637188882
sex_binary,10m,20,0.8499759956890216,0.8779083777085444,0.02793238201952275
sex_binary,10m,25,0.8509244109146131,0.8792209388533839,0.0282965279387708
sex_binary,10m,3,0.8176436584529467,0.8482245096165116,0.030580851163564904
sex_binary,10m,30,0.8515710576593348,0.8801270551696645,0.028555997510329667
sex_binary,10m,4,0.8350364963503649,0.8561714958737405,0.02113499952337561
sex_binary,10m,40,0.8515416646254839,0.8813054031715428,0.02976373854605896
sex_binary,10m,5,0.8399823641796895,0.8611547837378972,0.0211724195582077
sex_binary,10m,50,0.8518649879978445,0.8820443055815189,0.030179317583674425
sex_binary,10m,6,0.8399549306814286,0.8645949575234675,0.02464002684203892
sex_binary,10m,60,0.8512105031107629,0.8825544010787464,0.031343897967983536
sex_binary,10m,8,0.842463136236712,0.8690686899058407,0.026605553669128756
sex_binary,10m,80,0.8511948268260421,0.8832177485972995,0.03202292177125743
sex_binary,40m,1,0.7816959780532013,0.8053900474526158,0.02369406939941443
sex_binary,40m,10,0.8685817861166903,0.8844757915919027,0.01589400547521236
sex_binary,40m,12,0.8718326556606085,0.8858477100810338,0.014015054420425277
sex_binary,40m,16,0.8717307598099251,0.8875470395410511,0.01581627973112598
sex_binary,40m,2,0.822105520991525,0.8500817604443331,0.027976239452808138
sex_binary,40m,20,0.87158575417626,0.888556287303816,0.01697053312755592
sex_binary,40m,3,0.8509577230196443,0.8646438409879875,0.013686117968343181
sex_binary,40m,4,0.858974183118601,0.8718238902125975,0.012849707093996576
sex_binary,40m,5,0.8656718757654437,0.876088189035738,0.010416313270294353
sex_binary,40m,6,0.868901190417871,0.878908215777266,0.010007025359395016
sex_binary,40m,8,0.8688678783128398,0.8824012472932637,0.013533368980423899
sex_binary,80m,1,0.8004193406162738,0.8106017403448679,0.010182399728594027
sex_binary,80m,10,0.8971596531622006,0.8861361747482368,-0.011023478413963783
sex_binary,80m,2,0.8540234164503013,0.8516125080780781,-0.0024109083722232416
sex_binary,80m,3,0.8797903296918631,0.8656940630057489,-0.01409626668611419
sex_binary,80m,4,0.8876265125165337,0.872864276711288,-0.014762235805245716
sex_binary,80m,5,0.8933601136530643,0.8772240577408953,-0.016136055912169045
sex_binary,80m,6,0.895758585215304,0.8801613346270403,-0.015597250588263778
sex_binary,80m,8,0.8969793758879145,0.883876937409999,-0.01310243847791559
sex_binary,120m,1,0.8486141184539265,0.8047713063573824,-0.04384281209654417
sex_binary,120m,2,0.8859236760887669,0.8511552312533106,-0.03476844483545627
sex_binary,120m,3,0.8988135012002156,0.8668077666515892,-0.03200573454862643
sex_binary,120m,4,0.9050075932004116,0.8746933549418507,-0.030314238258560833
sex_binary,120m,5,0.9051976681526476,0.8794508842136626,-0.025746783938984996
sex_binary,120m,6,0.9053426737863126,0.8826364368408187,-0.022706236945493896
sex_binary,240m,1,0.8980865134963014,0.8021284234009496,-0.09595809009535183
sex_binary,240m,2,0.9101964434429042,0.85778082954934,-0.052415613893564195
sex_binary,240m,3,0.910349287218929,0.8750793825828392,-0.03526990463608981
sleep_efficiency_binary,30s,1,0.6532186297888458,0.4029603598273177,-0.2502582699615281
sleep_efficiency_binary,30s,10,0.7043943445138404,0.4893747219454638,-0.21501962256837664
sleep_efficiency_binary,30s,100,0.7073720683496822,0.4956900790559033,-0.21168198929377896
sleep_efficiency_binary,30s,12,0.7011187973844497,0.49064951236355847,-0.21046928502089124
